Name,Pre 2015,In 2023,Category,District,State,Year Start,Year Start Revise,Listener Base,PinCode,Broadcast Frequency,Language,,latitude,longitude,,
CCSHAU CRS,,,KVK,Hisar,Haryana,2009,,,125004,91.2,"Hindi, Haryanvi, English","1, 2, 10, 12",29.110897,75.693532,,1
Radio Mewat,Yes,,NGO,Mewat,Haryana,2010,,700000,122107,90.4,"Hindi, Mewati","1, 2, 3, 4, 5, 6, 8, 13",27.14203,78.09935,,
Alfaz-e-Mewat,Yes,,NGO,Mewat,Haryana,,2012,225000,122108,107.8,Hindi,"1, 2, 3, 4, 5, 6, 16",27.91723,76.98278,,
Radio Sanjha,Yes,,NGO,Yamuna Nagar,Haryana,2013,,300000,135001,90.8,"Hindi, English, Punjabi, Urdu, Bhojpuri","3, 5, 6, 8",30.1312,77.26596,,
Radio NGF,Yes,,EDU,Palwal,Haryana,2015,2014,,121102,90.4,"Hindi, Haryanvi","3, 5, 6, 10",28.1087,77.256172,,
Radio Mind Tree,,,EDU,Ambala,Haryana,2012,,,134003,91.2,"Hindi, English","3, 4, 5, 11",30.24712,76.70164,,
Radio Gramoday,,,NGO,Karnal,Haryana,2019,,300000,132024,90.4,"Hindi, English, Punjabi, Haryanvi","3, 4, 6, 8, 12",29.692382,76.762507,,
J.G. Radio,Yes,,EDU,Sirsa,Haryana,2012,,,125055,90.8,"Hindi, English, Punjabi","4, 9, 16",29.56954,75.08503,,
Radio RR Swarganga,,,EDU,Sirsa,Haryana,2017,,25000,125102,91.2,"Hindi, Punjabi","4, 5, 11, 13",29.502453,74.705174,,
Kuthar Radio,,,NGO,Shimla,HP,2018,,100000,171226,90.8,"Tamil, English","3, 4, 5, 8",30.98835,77.45075,,
Amlela Ki Awaz,,,NGO,Kangra,HP,2023,,,176027,89.6,"Hindi, Punjabi, Pahari","4, 8, 9, 16",32.026331,76.097201,,
Hamara MSPICM,Yes,,EDU,Solan,HP,2009,,100000,173212,90.4,"Hindi, English, Pahari","3, 4, 5, 13, 16",30.89658,77.11697,,
Radio Gunjan,,,EDU,Kangra,HP,2017,,500000,176057,91.2,"Hindi, Pahari, Gadyali, Punjabi","3, 4, 5, 10",20.08759,73.7181,,
Radio Sharda,Yes,,NGO,Jammu,JK,2011,,100000,181121,90.4,"Kashmiri, Dogri, Punjabi, Hindi","3, 4, 5, 6",32.7543,74.83281,,
Radio Jagriti,,,NGO,Giridih,JH,2013,,140000,825324,90.4,"Hindi, Khortha","3, 4, 5, 12",24.19657,86.19205,,
Radio Active,Yes,No,,Bangalore Urban,Karnataka,2007,,,560001,90.4,"Kannada, Telegu, Hindi, English, Tamil, Urdu",,12.975615,77.593462,,
Radio Universal,Yes,No,,Bangalore Urban,Karnataka,2010,2010,,560044,106.8,"Kannada, Telegu, Tamil, English, Hindi",,,,,
Krishi Community Radio Station,Yes,,KVK,Dharwad,Karnataka,2007,,,580005,90.4,Kannada,"3, 4, 5, 8, 12",15.56489,75.05564,,
